Protein	geneSymbol	diseaseName	diseaseClass	disease
Lactotransferrin	LTF	Hematochezia	C06	Заболевания пищеварительной системы
Lactotransferrin	LTF	Hepatitis, Toxic	C06	Заболевания пищеварительной системы
Lactotransferrin	LTF	Liver neoplasms	C06	Заболевания пищеварительной системы
Lactotransferrin	LTF	Malignant neoplasm of liver	C06	Заболевания пищеварительной системы
Lactotransferrin	LTF	Drug-Induced Liver Disease	C06	Заболевания пищеварительной системы
Lactotransferrin	LTF	Hepatitis, Drug-Induced	C06	Заболевания пищеварительной системы
Lactotransferrin	LTF	Drug-Induced Acute Liver Injury	C06	Заболевания пищеварительной системы
Lactotransferrin	LTF	Chemical and Drug Induced Liver Injury	C06	Заболевания пищеварительной системы
Lactotransferrin	LTF	Chemically-Induced Liver Toxicity	C06	Заболевания пищеварительной системы
Leucine-rich alpha-2-glycoprotein	LRG1	Malignant tumor of colon	C06	Заболевания пищеварительной системы
Leucine-rich alpha-2-glycoprotein	LRG1	Colonic Neoplasms	C06	Заболевания пищеварительной системы
Leucine-rich alpha-2-glycoprotein	LRG1	Adenomatous Polyposis Coli	C06	Заболевания пищеварительной системы
Leucine-rich alpha-2-glycoprotein	LRG1	Polyposis, Adenomatous Intestinal	C06	Заболевания пищеварительной системы
Leucine-rich alpha-2-glycoprotein	LRG1	Familial Intestinal Polyposis	C06	Заболевания пищеварительной системы
Lipopolysaccharide-binding protein	LBP	Hepatitis, Toxic	C06	Заболевания пищеварительной системы
Lipopolysaccharide-binding protein	LBP	Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
Lipopolysaccharide-binding protein	LBP	Drug-Induced Liver Disease	C06	Заболевания пищеварительной системы
Lipopolysaccharide-binding protein	LBP	Hepatitis, Drug-Induced	C06	Заболевания пищеварительной системы
Lipopolysaccharide-binding protein	LBP	Drug-Induced Acute Liver Injury	C06	Заболевания пищеварительной системы
Lipopolysaccharide-binding protein	LBP	Chemical and Drug Induced Liver Injury	C06	Заболевания пищеварительной системы
Lipopolysaccharide-binding protein	LBP	Chemically-Induced Liver Toxicity	C06	Заболевания пищеварительной системы
Lumican	LUM	Liver Cirrhosis	C06	Заболевания пищеварительной системы
Lumican	LUM	Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
Lumican	LUM	Fibrosis, Liver	C06	Заболевания пищеварительной системы
Matrix Gla protein	MGP	Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Malignant tumor of colon	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Colonic Neoplasms	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Hepatitis, Toxic	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Pancreatic Neoplasm	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Malignant neoplasm of pancreas	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Drug-Induced Liver Disease	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Hepatitis, Drug-Induced	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Liver carcinoma	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Drug-Induced Acute Liver Injury	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Chemical and Drug Induced Liver Injury	C06	Заболевания пищеварительной системы
Matrix metalloproteinase-9	MMP9	Chemically-Induced Liver Toxicity	C06	Заболевания пищеварительной системы
Metalloproteinase inhibitor 1	TIMP1	Hepatolenticular Degeneration	C06	Заболевания пищеварительной системы
Metalloproteinase inhibitor 1	TIMP1	Liver Cirrhosis, Alcoholic	C06	Заболевания пищеварительной системы
Metalloproteinase inhibitor 1	TIMP1	Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
Metalloproteinase inhibitor 1	TIMP1	Hepatic Form of Wilson Disease	C06	Заболевания пищеварительной системы
Metalloproteinase inhibitor 2	TIMP2	Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
Microtubule-associated protein tau	MAPT	Liver carcinoma	C06	Заболевания пищеварительной системы
Neutrophil gelatinase-associated lipocalin	LCN2	Celiac Disease	C06	Заболевания пищеварительной системы
Neutrophil gelatinase-associated lipocalin	LCN2	Hepatitis, Animal	C06	Заболевания пищеварительной системы
Neutrophil gelatinase-associated lipocalin	LCN2	Hepatitis, Toxic	C06	Заболевания пищеварительной системы
Neutrophil gelatinase-associated lipocalin	LCN2	Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
Neutrophil gelatinase-associated lipocalin	LCN2	Drug-Induced Liver Disease	C06	Заболевания пищеварительной системы
Neutrophil gelatinase-associated lipocalin	LCN2	Hepatitis, Drug-Induced	C06	Заболевания пищеварительной системы
Neutrophil gelatinase-associated lipocalin	LCN2	Drug-Induced Acute Liver Injury	C06	Заболевания пищеварительной системы
Neutrophil gelatinase-associated lipocalin	LCN2	Chemical and Drug Induced Liver Injury	C06	Заболевания пищеварительной системы
Neutrophil gelatinase-associated lipocalin	LCN2	Chemically-Induced Liver Toxicity	C06	Заболевания пищеварительной системы
Nucleoside diphosphate kinase A	NME1	Colorectal Carcinoma	C06	Заболевания пищеварительной системы
Nucleoside diphosphate kinase A	NME1	Colorectal Neoplasms	C06	Заболевания пищеварительной системы
Nucleoside diphosphate kinase A	NME1	Liver carcinoma	C06	Заболевания пищеварительной системы
Occludin	OCLN	Hepatic Veno-Occlusive Disease	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Hepatitis, Toxic	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Hepatoma, Morris	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Hepatoma, Novikoff	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Liver Cirrhosis	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Alcoholic Liver Diseases	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Liver Neoplasms, Experimental	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Experimental Hepatoma	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Fibrosis, Liver	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Drug-Induced Liver Disease	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Hepatitis, Drug-Induced	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Drug-Induced Acute Liver Injury	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Chemical and Drug Induced Liver Injury	C06	Заболевания пищеварительной системы
Osteopontin	SPP1	Chemically-Induced Liver Toxicity	C06	Заболевания пищеварительной системы
Peroxiredoxin-1	PRDX1	Esophageal Neoplasms	C06	Заболевания пищеварительной системы
Peroxiredoxin-1	PRDX1	Hepatoma, Morris	C06	Заболевания пищеварительной системы
Peroxiredoxin-1	PRDX1	Hepatoma, Novikoff	C06	Заболевания пищеварительной системы
Peroxiredoxin-1	PRDX1	Liver Neoplasms, Experimental	C06	Заболевания пищеварительной системы
Peroxiredoxin-1	PRDX1	Experimental Hepatoma	C06	Заболевания пищеварительной системы
Peroxiredoxin-1	PRDX1	Squamous cell carcinoma of esophagus	C06	Заболевания пищеварительной системы
Peroxiredoxin-1	PRDX1	Malignant neoplasm of esophagus	C06	Заболевания пищеварительной системы
Peroxiredoxin-1	PRDX1	Liver carcinoma	C06	Заболевания пищеварительной системы
Peroxiredoxin-2	PRDX2	Esophageal Neoplasms	C06	Заболевания пищеварительной системы
Peroxiredoxin-2	PRDX2	Malignant neoplasm of esophagus	C06	Заболевания пищеварительной системы
Peroxiredoxin-2	PRDX2	Liver carcinoma	C06	Заболевания пищеварительной системы
Phosphatidylcholine-sterol acyltransferase	LCAT	Liver carcinoma	C06	Заболевания пищеварительной системы
Phospholipid transfer protein	PLTP	Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
Plastin-2	LCP1	Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
Pregnancy zone protein	PZP	Colorectal Carcinoma	C06	Заболевания пищеварительной системы
Pregnancy zone protein	PZP	Hepatitis, Toxic	C06	Заболевания пищеварительной системы
Pregnancy zone protein	PZP	Drug-Induced Liver Disease	C06	Заболевания пищеварительной системы
Pregnancy zone protein	PZP	Hepatitis, Drug-Induced	C06	Заболевания пищеварительной системы
Pregnancy zone protein	PZP	Liver carcinoma	C06	Заболевания пищеварительной системы
Pregnancy zone protein	PZP	Drug-Induced Acute Liver Injury	C06	Заболевания пищеварительной системы
Pregnancy zone protein	PZP	Chemical and Drug Induced Liver Injury	C06	Заболевания пищеварительной системы
Pregnancy zone protein	PZP	Chemically-Induced Liver Toxicity	C06	Заболевания пищеварительной системы
Protein AMBP	AMBP	Hepatitis, Toxic	C06	Заболевания пищеварительной системы
Protein AMBP	AMBP	Drug-Induced Liver Disease	C06	Заболевания пищеварительной системы
Protein AMBP	AMBP	Hepatitis, Drug-Induced	C06	Заболевания пищеварительной системы
Protein AMBP	AMBP	Drug-Induced Acute Liver Injury	C06	Заболевания пищеварительной системы
Protein AMBP	AMBP	Chemical and Drug Induced Liver Injury	C06	Заболевания пищеварительной системы
Protein AMBP	AMBP	Chemically-Induced Liver Toxicity	C06	Заболевания пищеварительной системы
Protein_deglycase_DJ-1	PARK7	Hepatitis, Toxic	C06	Заболевания пищеварительной системы
Protein_deglycase_DJ-1	PARK7	Drug-Induced Liver Disease	C06	Заболевания пищеварительной системы
Protein_deglycase_DJ-1	PARK7	Hepatitis, Drug-Induced	C06	Заболевания пищеварительной системы
Protein_deglycase_DJ-1	PARK7	Liver carcinoma	C06	Заболевания пищеварительной системы
Protein_deglycase_DJ-1	PARK7	Drug-Induced Acute Liver Injury	C06	Заболевания пищеварительной системы
Protein_deglycase_DJ-1	PARK7	Chemical and Drug Induced Liver Injury	C06	Заболевания пищеварительной системы
Protein_deglycase_DJ-1	PARK7	Chemically-Induced Liver Toxicity	C06	Заболевания пищеварительной системы
Ras GTPase-activating protein nGAP	RASAL2	Colorectal Carcinoma	C06	Заболевания пищеварительной системы
Serum amyloid P-component	APCS	Liver neoplasms	C06	Заболевания пищеварительной системы
Serum amyloid P-component	APCS	Malignant neoplasm of liver	C06	Заболевания пищеварительной системы
Serum amyloid P-component	APCS	Liver carcinoma	C06	Заболевания пищеварительной системы
Serum paraoxonase/arylesterase 1	PON1	Hemorrhoids	C06	Заболевания пищеварительной системы
Serum paraoxonase/arylesterase 1	PON1	Hepatitis, Toxic	C06	Заболевания пищеварительной системы
Serum paraoxonase/arylesterase 1	PON1	Drug-Induced Liver Disease	C06	Заболевания пищеварительной системы
Serum paraoxonase/arylesterase 1	PON1	Hepatitis, Drug-Induced	C06	Заболевания пищеварительной системы
Serum paraoxonase/arylesterase 1	PON1	Drug-Induced Acute Liver Injury	C06	Заболевания пищеварительной системы
Serum paraoxonase/arylesterase 1	PON1	Chemical and Drug Induced Liver Injury	C06	Заболевания пищеварительной системы
Serum paraoxonase/arylesterase 1	PON1	Chemically-Induced Liver Toxicity	C06	Заболевания пищеварительной системы
SPARC	SPARC	Malignant tumor of colon	C06	Заболевания пищеварительной системы
SPARC	SPARC	Colonic Neoplasms	C06	Заболевания пищеварительной системы
SPARC	SPARC	Colorectal Carcinoma	C06	Заболевания пищеварительной системы
SPARC	SPARC	Colorectal Neoplasms	C06	Заболевания пищеварительной системы
SPARC	SPARC	Liver Cirrhosis	C06	Заболевания пищеварительной системы
SPARC	SPARC	Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
SPARC	SPARC	Fibrosis, Liver	C06	Заболевания пищеварительной системы
Stromelysin-1	MMP3	Celiac Disease	C06	Заболевания пищеварительной системы
Tenascin-X B	TNXB	Squamous cell carcinoma of esophagus	C06	Заболевания пищеварительной системы
Thrombomodulin	THBD	Liver Cirrhosis, Experimental	C06	Заболевания пищеварительной системы
Thrombomodulin	THBD	Malignant neoplasm of stomach	C06	Заболевания пищеварительной системы
Thrombomodulin	THBD	Stomach Neoplasms	C06	Заболевания пищеварительной системы
Thrombomodulin	THBD	Hereditary Diffuse Gastric Cancer	C06	Заболевания пищеварительной системы
Thrombospondin-1	THBS1	Liver Cirrhosis	C06	Заболевания пищеварительной системы
Thrombospondin-1	THBS1	Fibrosis, Liver	C06	Заболевания пищеварительной системы
Vascular cell adhesion protein 1	VCAM1	Cholestasis of pregnancy	C06	Заболевания пищеварительной системы
Vascular cell adhesion protein 1	VCAM1	Liver carcinoma	C06	Заболевания пищеварительной системы
Vascular cell adhesion protein 1	VCAM1	Familial intrahepatic cholestasis of pregnancy	C06	Заболевания пищеварительной системы
Vasorin	VASN	Liver carcinoma	C06	Заболевания пищеварительной системы
Vitronectin	VTN	Liver Cirrhosis	C06	Заболевания пищеварительной системы
Vitronectin	VTN	Fibrosis, Liver	C06	Заболевания пищеварительной системы
Xaa-Pro dipeptidase	PEPD	Hepatomegaly	C06	Заболевания пищеварительной системы
Alpha-1-antitrypsin	SERPINA1	Adenocarcinoma	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Adenocarcinoma, Basal Cell	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Adenocarcinoma, Oxyphilic	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Carcinoma, Cribriform	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Carcinoma, Granular Cell	C04	Новообразования
Alpha-1-antitrypsin	SERPINA1	Adenocarcinoma, Tubular	C04	Новообразования
Apolipoprotein A-I	APOA1	Adenocarcinoma	C04	Новообразования
Apolipoprotein A-I	APOA1	Adenocarcinoma of lung (disorder)	C04	Новообразования
Apolipoprotein A-I	APOA1	Adenocarcinoma, Basal Cell	C04	Новообразования
Apolipoprotein A-I	APOA1	Adenocarcinoma, Oxyphilic	C04	Новообразования
Apolipoprotein A-I	APOA1	Carcinoma, Cribriform	C04	Новообразования
Apolipoprotein A-I	APOA1	Carcinoma, Granular Cell	C04	Новообразования
Apolipoprotein A-I	APOA1	Adenocarcinoma, Tubular	C04	Новообразования
Ceruloplasmin	CP	melanoma	C04	Новообразования
Cholinesterase	CHGA	Pheochromocytoma	C04	Новообразования
Cholinesterase	CHGA	Pheochromocytoma, Extra-Adrenal	C04	Новообразования
Creatine kinase B-type	CKB	Adenocarcinoma	C04	Новообразования
Creatine kinase B-type	CKB	Adenocarcinoma, Basal Cell	C04	Новообразования
Creatine kinase B-type	CKB	Adenocarcinoma, Oxyphilic	C04	Новообразования
Creatine kinase B-type	CKB	Carcinoma, Cribriform	C04	Новообразования
Creatine kinase B-type	CKB	Carcinoma, Granular Cell	C04	Новообразования
Creatine kinase B-type	CKB	Adenocarcinoma, Tubular	C04	Новообразования
Cystatin-C	CST3	Leukemia, Myelocytic, Acute	C04	Новообразования
Cystatin-C	CST3	Acute Myeloid Leukemia, M1	C04	Новообразования
Cystatin-C	CST3	Acute Myeloid Leukemia (AML-M2)	C04	Новообразования
Ferritin heavy chain	FTH1	Glioma	C04	Новообразования
Ferritin heavy chain	FTH1	Precancerous Conditions	C04	Новообразования
Ferritin heavy chain	FTH1	mixed gliomas	C04	Новообразования
Ferritin heavy chain	FTH1	Condition, Preneoplastic	C04	Новообразования
Ferritin heavy chain	FTH1	Malignant Glioma	C04	Новообразования
Fibronectin	FN1	Carcinoma	C04	Новообразования
Fibronectin	FN1	Glioblastoma	C04	Новообразования
Fibronectin	FN1	Mammary Neoplasms, Experimental	C04	Новообразования
Fibronectin	FN1	Anaplastic carcinoma	C04	Новообразования
Fibronectin	FN1	Carcinoma, Spindle-Cell	C04	Новообразования
Fibronectin	FN1	Undifferentiated carcinoma	C04	Новообразования
Fibronectin	FN1	Carcinomatosis	C04	Новообразования
Fibronectin	FN1	Giant Cell Glioblastoma	C04	Новообразования
Fibronectin	FN1	Glioblastoma Multiforme	C04	Новообразования
Haptoglobin	HP	leukemia	C04	Новообразования
Insulin-like growth factor-binding protein 1	IGFBP1	Precancerous Conditions	C04	Новообразования
Insulin-like growth factor-binding protein 1	IGFBP1	Condition, Preneoplastic	C04	Новообразования
Insulin-like growth factor-binding protein 3	IGFBP3	Carcinoma, Transitional Cell	C04	Новообразования
Myeloperoxidase	MPO	Precancerous Conditions	C04	Новообразования
Myeloperoxidase	MPO	Condition, Preneoplastic	C04	Новообразования
Prolactin	PRL	Adenocarcinoma	C04	Новообразования
Prolactin	PRL	Adenoma	C04	Новообразования
Prolactin	PRL	Mammary Neoplasms, Experimental	C04	Новообразования
Prolactin	PRL	Adenocarcinoma, Basal Cell	C04	Новообразования
Prolactin	PRL	Adenocarcinoma, Oxyphilic	C04	Новообразования
Prolactin	PRL	Carcinoma, Cribriform	C04	Новообразования
Prolactin	PRL	Carcinoma, Granular Cell	C04	Новообразования
Prolactin	PRL	Adenocarcinoma, Tubular	C04	Новообразования
Prolactin	PRL	Adenoma, Basal Cell	C04	Новообразования
Prolactin	PRL	Follicular adenoma	C04	Новообразования
Prolactin	PRL	Adenoma, Microcystic	C04	Новообразования
Prolactin	PRL	Adenoma, Monomorphic	C04	Новообразования
Prolactin	PRL	Papillary adenoma	C04	Новообразования
Prolactin	PRL	Adenoma, Trabecular	C04	Новообразования
Retinol-binding protein 4	RBP4	Carcinoma	C04	Новообразования
Retinol-binding protein 4	RBP4	Mammary Neoplasms, Experimental	C04	Новообразования
Retinol-binding protein 4	RBP4	Anaplastic carcinoma	C04	Новообразования
Retinol-binding protein 4	RBP4	Carcinoma, Spindle-Cell	C04	Новообразования
Retinol-binding protein 4	RBP4	Undifferentiated carcinoma	C04	Новообразования
Retinol-binding protein 4	RBP4	Carcinomatosis	C04	Новообразования
Serotransferrin	TF	Carcinoma	C04	Новообразования
Serotransferrin	TF	Mammary Neoplasms, Experimental	C04	Новообразования
Serotransferrin	TF	Adenocarcinoma of lung (disorder)	C04	Новообразования
Serotransferrin	TF	Anaplastic carcinoma	C04	Новообразования
Serotransferrin	TF	Carcinoma, Spindle-Cell	C04	Новообразования
Serotransferrin	TF	Undifferentiated carcinoma	C04	Новообразования
Serotransferrin	TF	Carcinomatosis	C04	Новообразования
Serum albumin	ALB	Adenocarcinoma of lung (disorder)	C04	Новообразования
Transferrin receptor protein 1	TFRC	Glioma	C04	Новообразования
Transferrin receptor protein 1	TFRC	mixed gliomas	C04	Новообразования
Transferrin receptor protein 1	TFRC	Malignant Glioma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Adenocarcinoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Malignant Neoplasms	C04	Новообразования
Epidermal growth factor receptor	EGFR	Carcinoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Squamous cell carcinoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Glioblastoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Glioma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Head and Neck Neoplasms	C04	Новообразования
Epidermal growth factor receptor	EGFR	Head Neoplasms	C04	Новообразования
Epidermal growth factor receptor	EGFR	Mammary Neoplasms, Experimental	C04	Новообразования
Epidermal growth factor receptor	EGFR	Mesothelioma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Neck Neoplasms	C04	Новообразования
Epidermal growth factor receptor	EGFR	Osteosarcoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Papilloma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Adenocarcinoma of lung (disorder)	C04	Новообразования
Epidermal growth factor receptor	EGFR	Adenocarcinoma, Basal Cell	C04	Новообразования
Epidermal growth factor receptor	EGFR	Adenocarcinoma, Oxyphilic	C04	Новообразования
Epidermal growth factor receptor	EGFR	Carcinoma, Cribriform	C04	Новообразования
Epidermal growth factor receptor	EGFR	Carcinoma, Granular Cell	C04	Новообразования
Epidermal growth factor receptor	EGFR	Adenocarcinoma, Tubular	C04	Новообразования
Epidermal growth factor receptor	EGFR	Anaplastic carcinoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Carcinoma, Spindle-Cell	C04	Новообразования
Epidermal growth factor receptor	EGFR	Undifferentiated carcinoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Carcinomatosis	C04	Новообразования
Epidermal growth factor receptor	EGFR	Papilloma, Squamous Cell	C04	Новообразования
Epidermal growth factor receptor	EGFR	Papillomatosis	C04	Новообразования
Epidermal growth factor receptor	EGFR	Cholangiocarcinoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	gliosarcoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Malignant Head and Neck Neoplasm	C04	Новообразования
Epidermal growth factor receptor	EGFR	Giant Cell Glioblastoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Intrahepatic Cholangiocarcinoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Cancer of Neck	C04	Новообразования
Epidermal growth factor receptor	EGFR	Cancer of Head	C04	Новообразования
Epidermal growth factor receptor	EGFR	Upper Aerodigestive Tract Neoplasms	C04	Новообразования
Epidermal growth factor receptor	EGFR	Squamous cell carcinoma of the head and neck	C04	Новообразования
Epidermal growth factor receptor	EGFR	Glioblastoma Multiforme	C04	Новообразования
Epidermal growth factor receptor	EGFR	Extrahepatic Cholangiocarcinoma	C04	Новообразования
Epidermal growth factor receptor	EGFR	Head and Neck Carcinoma	C04	Новообразования
Gamma-enolase	ENO2	Leukemia, Myelocytic, Acute	C04	Новообразования
Gamma-enolase	ENO2	Acute Myeloid Leukemia, M1	C04	Новообразования
Gamma-enolase	ENO2	Neoplasms, Experimental	C04	Новообразования
Gamma-enolase	ENO2	Acute Myeloid Leukemia (AML-M2)	C04	Новообразования
Glutathione peroxidase 3	GPX3	Adenocarcinoma	C04	Новообразования
Glutathione peroxidase 3	GPX3	Malignant Neoplasms	C04	Новообразования
Glutathione peroxidase 3	GPX3	Neoplasms	C04	Новообразования
Glutathione peroxidase 3	GPX3	Benign Neoplasm	C04	Новообразования
Glutathione peroxidase 3	GPX3	Adenocarcinoma, Basal Cell	C04	Новообразования
Glutathione peroxidase 3	GPX3	Adenocarcinoma, Oxyphilic	C04	Новообразования
Glutathione peroxidase 3	GPX3	Carcinoma, Cribriform	C04	Новообразования
Glutathione peroxidase 3	GPX3	Carcinoma, Granular Cell	C04	Новообразования
Glutathione peroxidase 3	GPX3	Adenocarcinoma, Tubular	C04	Новообразования
Hemoglobin subunit alpha	HBA1	Carcinoma	C04	Новообразования
Hemoglobin subunit alpha	HBA1	Mammary Neoplasms, Experimental	C04	Новообразования
Hemoglobin subunit alpha	HBA1	Anaplastic carcinoma	C04	Новообразования
Hemoglobin subunit alpha	HBA1	Carcinoma, Spindle-Cell	C04	Новообразования
Hemoglobin subunit alpha	HBA1	Undifferentiated carcinoma	C04	Новообразования
Hemoglobin subunit alpha	HBA1	Carcinomatosis	C04	Новообразования
Insulin-like growth factor-binding protein 2	IGFBP2	Adenoid Cystic Carcinoma	C04	Новообразования
Interleukin-10	IL10	Mammary Neoplasms, Experimental	C04	Новообразования
Interleukin-6	IL6	Squamous cell carcinoma	C04	Новообразования
Interleukin-6	IL6	Precancerous Conditions	C04	Новообразования
Interleukin-6	IL6	Cholangiocarcinoma	C04	Новообразования
Interleukin-6	IL6	Condition, Preneoplastic	C04	Новообразования
Interleukin-6	IL6	Intrahepatic Cholangiocarcinoma	C04	Новообразования
Interleukin-6	IL6	Pigmented Basal Cell Carcinoma	C04	Новообразования
Interleukin-6	IL6	Extrahepatic Cholangiocarcinoma	C04	Новообразования
Interleukin-6	IL6	Carcinoma, Basal Cell	C04	Новообразования
60 kDa heat shock protein mitochondrial	HSPD1	Adenocarcinoma	C04	Новообразования
60 kDa heat shock protein mitochondrial	HSPD1	Adenocarcinoma, Basal Cell	C04	Новообразования
60 kDa heat shock protein mitochondrial	HSPD1	Adenocarcinoma, Oxyphilic	C04	Новообразования
60 kDa heat shock protein mitochondrial	HSPD1	Carcinoma, Cribriform	C04	Новообразования
60 kDa heat shock protein mitochondrial	HSPD1	Carcinoma, Granular Cell	C04	Новообразования
60 kDa heat shock protein mitochondrial	HSPD1	Adenocarcinoma, Tubular	C04	Новообразования
72 KDa type IV collagenase	MMP2	Glioblastoma	C04	Новообразования
72 KDa type IV collagenase	MMP2	Mammary Neoplasms, Experimental	C04	Новообразования
72 KDa type IV collagenase	MMP2	Osteosarcoma	C04	Новообразования
72 KDa type IV collagenase	MMP2	Giant Cell Glioblastoma	C04	Новообразования
72 KDa type IV collagenase	MMP2	Glioblastoma Multiforme	C04	Новообразования
A disintegrin and metalloproteinase with thrombospondin motifs 20	ADAMTS20	melanoma	C04	Новообразования
Actin, alpha cardiac muscle 1	ACTC1	Precancerous Conditions	C04	Новообразования
Actin, alpha cardiac muscle 1	ACTC1	Condition, Preneoplastic	C04	Новообразования
Apolipoprotein D	APOD	Glioma	C04	Новообразования
Apolipoprotein D	APOD	mixed gliomas	C04	Новообразования
Apolipoprotein D	APOD	Malignant Glioma	C04	Новообразования
Apolipoprotein E	APOE	Adenocarcinoma	C04	Новообразования
Apolipoprotein E	APOE	Adenocarcinoma, Basal Cell	C04	Новообразования
Apolipoprotein E	APOE	Adenocarcinoma, Oxyphilic	C04	Новообразования
Apolipoprotein E	APOE	Carcinoma, Cribriform	C04	Новообразования
Apolipoprotein E	APOE	Carcinoma, Granular Cell	C04	Новообразования
Apolipoprotein E	APOE	Adenocarcinoma, Tubular	C04	Новообразования
Aromatase	CYP19A1	Adenocarcinoma	C04	Новообразования
Aromatase	CYP19A1	Adenocarcinoma, Basal Cell	C04	Новообразования
Aromatase	CYP19A1	Adenocarcinoma, Oxyphilic	C04	Новообразования
Aromatase	CYP19A1	Carcinoma, Cribriform	C04	Новообразования
Aromatase	CYP19A1	Carcinoma, Granular Cell	C04	Новообразования
Aromatase	CYP19A1	Adenocarcinoma, Tubular	C04	Новообразования
Carbonic anhydrase 1	CA1	Adenocarcinoma	C04	Новообразования
Carbonic anhydrase 1	CA1	Adenocarcinoma, Basal Cell	C04	Новообразования
Carbonic anhydrase 1	CA1	Adenocarcinoma, Oxyphilic	C04	Новообразования
Carbonic anhydrase 1	CA1	Carcinoma, Cribriform	C04	Новообразования
Carbonic anhydrase 1	CA1	Carcinoma, Granular Cell	C04	Новообразования
Carbonic anhydrase 1	CA1	Adenocarcinoma, Tubular	C04	Новообразования
CD44 antigen	CD44	Leukemia, Myelocytic, Acute	C04	Новообразования
CD44 antigen	CD44	Acute Promyelocytic Leukemia	C04	Новообразования
CD44 antigen	CD44	Mammary Neoplasms, Experimental	C04	Новообразования
CD44 antigen	CD44	Acute Myeloid Leukemia, M1	C04	Новообразования
CD44 antigen	CD44	Acute Myeloid Leukemia (AML-M2)	C04	Новообразования
Clusterin	CLU	melanoma	C04	Новообразования
Collagen alpha-1(I) chain	COL1A1	Dermatofibrosarcoma Protuberans	C04	Новообразования
Collagen alpha-1(XVIII) chain	COL18A1	Hemangiosarcoma	C04	Новообразования
Galectin-3	LGALS3	melanoma	C04	Новообразования
Gelsolin	GSN	Mesothelioma	C04	Новообразования
Glutamate receptor ionotropic NMDA 2A	GRIN2A	melanoma	C04	Новообразования
Glutathione S-transferase P	GSTP1	Carcinoma	C04	Новообразования
Glutathione S-transferase P	GSTP1	Glioma	C04	Новообразования
Glutathione S-transferase P	GSTP1	Osteosarcoma	C04	Новообразования
Glutathione S-transferase P	GSTP1	Precancerous Conditions	C04	Новообразования
Glutathione S-transferase P	GSTP1	Anaplastic carcinoma	C04	Новообразования
Glutathione S-transferase P	GSTP1	Carcinoma, Spindle-Cell	C04	Новообразования
Glutathione S-transferase P	GSTP1	Undifferentiated carcinoma	C04	Новообразования
Glutathione S-transferase P	GSTP1	Carcinomatosis	C04	Новообразования
