diseaseName	diseaseClass	disease
Micronuclei, Genotoxicant-Induced	C23	Патологические состояния, признаки и симптомы
Liver Cirrhosis	C23	Патологические состояния, признаки и симптомы
Neoplasm Metastasis	C23	Патологические состояния, признаки и симптомы
alpha 1-Antitrypsin Deficiency	C23	Патологические состояния, признаки и симптомы
Fibrosis, Liver	C23	Патологические состояния, признаки и симптомы
Alopecia-Mental Retardation Syndrome 1	C23	Патологические состояния, признаки и симптомы
Perniola Krajewska Carnevale syndrome	C23	Патологические состояния, признаки и симптомы
AMR Syndrome	C23	Патологические состояния, признаки и симптомы
Liver Cirrhosis, Experimental	C23	Патологические состояния, признаки и симптомы
Cerebral Hemorrhage	C23	Патологические состояния, признаки и симптомы
Renal glomerular disease	C23	Патологические состояния, признаки и симптомы
Ataxia with vitamin E deficiency	C23	Патологические состояния, признаки и симптомы
Pediatric Obesity	C23	Патологические состояния, признаки и симптомы
Adolescent Obesity	C23	Патологические состояния, признаки и симптомы
Childhood Overweight	C23	Патологические состояния, признаки и симптомы
Infantile Obesity	C23	Патологические состояния, признаки и симптомы
Infant Overweight	C23	Патологические состояния, признаки и симптомы
Adolescent Overweight	C23	Патологические состояния, признаки и симптомы
Hypergammaglobulinemia	C23	Патологические состояния, признаки и симптомы
hearing impairment	C23	Патологические состояния, признаки и симптомы
Obesity	C23	Патологические состояния, признаки и симптомы
Catalepsy	C23	Патологические состояния, признаки и симптомы
Hyperalgesia	C23	Патологические состояния, признаки и симптомы
Profound Mental Retardation	C23	Патологические состояния, признаки и симптомы
Mental Retardation, Psychosocial	C23	Патологические состояния, признаки и симптомы
Waxy flexibility	C23	Патологические состояния, признаки и симптомы
Allodynia	C23	Патологические состояния, признаки и симптомы
Neurogenic Inflammation	C23	Патологические состояния, признаки и симптомы
Hyperalgesia, Primary	C23	Патологические состояния, признаки и симптомы
Hyperalgesia, Secondary	C23	Патологические состояния, признаки и симптомы
Tactile Allodynia	C23	Патологические состояния, признаки и симптомы
Hyperalgesia, Thermal	C23	Патологические состояния, признаки и симптомы
Hyperkinesia, Generalized	C23	Патологические состояния, признаки и симптомы
Mental deficiency	C23	Патологические состояния, признаки и симптомы
Mechanical Allodynia	C23	Патологические состояния, признаки и симптомы
Intellectual Disability	C23	Патологические состояния, признаки и симптомы
Hyperkinesia	C23	Патологические состояния, признаки и симптомы
Cerebral Infarction	C23	Патологические состояния, признаки и симптомы
Myocardial Infarction	C23	Патологические состояния, признаки и симптомы
Cerebral Infarction, Left Hemisphere	C23	Патологические состояния, признаки и симптомы
Cerebral Infarction, Right Hemisphere	C23	Патологические состояния, признаки и симптомы
Anterior Choroidal Artery Infarction	C23	Патологические состояния, признаки и симптомы
Subcortical Infarction	C23	Патологические состояния, признаки и симптомы
Posterior Choroidal Artery Infarction	C23	Патологические состояния, признаки и симптомы
Keloid	C23	Патологические состояния, признаки и симптомы
Left Ventricular Hypertrophy	C23	Патологические состояния, признаки и симптомы
Nephrogenic Fibrosing Dermopathy	C23	Патологические состояния, признаки и симптомы
Lupus Erythematosus	C23	Патологические состояния, признаки и симптомы
Brain hemorrhage	C23	Патологические состояния, признаки и симптомы
Neoplasm Invasiveness	C23	Патологические состояния, признаки и симптомы
Neoplastic Cell Transformation	C23	Патологические состояния, признаки и симптомы
Spondylometaphyseal dysplasia, 'corner fracture' type	C23	Патологические состояния, признаки и симптомы
Primary biliary cirrhosis	C23	Патологические состояния, признаки и симптомы
Biliary cirrhosis	C23	Патологические состояния, признаки и симптомы
Secondary Biliary Cholangitis	C23	Патологические состояния, признаки и симптомы
Biliary Cirrhosis, Primary, 1	C23	Патологические состояния, признаки и симптомы
Proteinuria	C23	Патологические состояния, признаки и симптомы
Liver Cirrhosis, Alcoholic	C23	Патологические состояния, признаки и симптомы
Reperfusion Injury	C23	Патологические состояния, признаки и симптомы
Atrial Fibrillation	C23	Патологические состояния, признаки и симптомы
Dyspnea	C23	Патологические состояния, признаки и симптомы
Cardiomegaly	C23	Патологические состояния, признаки и симптомы
Tachycardia, Ventricular	C23	Патологические состояния, признаки и симптомы
Cardiac Output, High	C23	Патологические состояния, признаки и симптомы
Paroxysmal atrial fibrillation	C23	Патологические состояния, признаки и симптомы
Cardiotoxicity	C23	Патологические состояния, признаки и симптомы
Cardiac Hypertrophy	C23	Патологические состояния, признаки и симптомы
Persistent atrial fibrillation	C23	Патологические состояния, признаки и симптомы
familial atrial fibrillation	C23	Патологические состояния, признаки и симптомы
Fetal Resorption	C23	Патологические состояния, признаки и симптомы
Bradycardia	C23	Патологические состояния, признаки и симптомы
Microphthalmia associated with colobomatous cyst	C23	Патологические состояния, признаки и симптомы
Hepatomegaly	C23	Патологические состояния, признаки и симптомы
Myocardial Reperfusion Injury	C23	Патологические состояния, признаки и симптомы
Lymphatic Metastasis	C23	Патологические состояния, признаки и симптомы
Aphasia	C23	Патологические состояния, признаки и симптомы
Aphasia, Acquired	C23	Патологические состояния, признаки и симптомы
Bacteremia	C23	Патологические состояния, признаки и симптомы
Hematoma, Subdural	C23	Патологические состояния, признаки и симптомы
Hemiparesis	C23	Патологические состояния, признаки и симптомы
Paresis	C23	Патологические состояния, признаки и симптомы
Shock, Cardiogenic	C23	Патологические состояния, признаки и симптомы
Intracranial Hemorrhage	C23	Патологические состояния, признаки и симптомы
Aphasia, Ageusic	C23	Патологические состояния, признаки и симптомы
Aphasia, Global	C23	Патологические состояния, признаки и симптомы
Aphasia, Functional	C23	Патологические состояния, признаки и симптомы
Aphasia, Graphomotor	C23	Патологические состояния, признаки и симптомы
Aphasia, Intellectual	C23	Патологические состояния, признаки и симптомы
Aphasia, Semantic	C23	Патологические состояния, признаки и симптомы
Aphasia, Syntactical	C23	Патологические состояния, признаки и симптомы
Middle Cerebral Artery Syndrome	C23	Патологические состояния, признаки и симптомы
Monoparesis	C23	Патологические состояния, признаки и симптомы
Aphasia, Progressive	C23	Патологические состояния, признаки и симптомы
Anterior Cerebral Circulation Infarction	C23	Патологические состояния, признаки и симптомы
Aphasia, Mixed	C23	Патологические состояния, признаки и симптомы
Middle Cerebral Artery Thrombosis	C23	Патологические состояния, признаки и симптомы
Middle Cerebral Artery Occlusion	C23	Патологические состояния, признаки и симптомы
Infarction, Middle Cerebral Artery	C23	Патологические состояния, признаки и симптомы
Aphasia, Auditory Discriminatory	C23	Патологические состояния, признаки и симптомы
Aphasia, Commisural	C23	Патологические состояния, признаки и симптомы
Aphasia, Post-Ictal	C23	Патологические состояния, признаки и симптомы
Aphasia, Post-Traumatic	C23	Патологические состояния, признаки и симптомы
Dejerine-Lichtheim Phenomenon	C23	Патологические состояния, признаки и симптомы
Upper Extremity Paresis	C23	Патологические состояния, признаки и симптомы
Lower Extremity Paresis	C23	Патологические состояния, признаки и симптомы
Middle Cerebral Artery Embolus	C23	Патологические состояния, признаки и симптомы
Left Middle Cerebral Artery Infarction	C23	Патологические состояния, признаки и симптомы
Embolic Infarction, Middle Cerebral Artery	C23	Патологические состояния, признаки и симптомы
Thrombotic Infarction, Middle Cerebral Artery	C23	Патологические состояния, признаки и симптомы
Right Middle Cerebral Artery Infarction	C23	Патологические состояния, признаки и симптомы
Posterior Fossa Hemorrhage	C23	Патологические состояния, признаки и симптомы
Anterior Circulation Brain Infarction	C23	Патологические состояния, признаки и симптомы
Brain Infarction, Posterior Circulation	C23	Патологические состояния, признаки и симптомы
Venous Infarction, Brain	C23	Патологические состояния, признаки и симптомы
Brain Infarction	C23	Патологические состояния, признаки и симптомы
Dysphasia	C23	Патологические состояния, признаки и симптомы
Pyemia	C23	Патологические состояния, признаки и симптомы
Septicemia	C23	Патологические состояния, признаки и симптомы
Purpura Fulminans	C23	Патологические состояния, признаки и симптомы
Sepsis	C23	Патологические состояния, признаки и симптомы
Severe Sepsis	C23	Патологические состояния, признаки и симптомы
Albuminuria	C23	Патологические состояния, признаки и симптомы
Cardiac Arrhythmia	C23	Патологические состояния, признаки и симптомы
Fetal Growth Retardation	C23	Патологические состояния, признаки и симптомы
Jacksonian Seizure	C23	Патологические состояния, признаки и симптомы
Peptic Ulcer Hemorrhage	C23	Патологические состояния, признаки и симптомы
Seizures	C23	Патологические состояния, признаки и симптомы
Complex partial seizures	C23	Патологические состояния, признаки и симптомы
Generalized seizures	C23	Патологические состояния, признаки и симптомы
Clonic Seizures	C23	Патологические состояния, признаки и симптомы
Visual seizure	C23	Патологические состояния, признаки и симптомы
Tonic Seizures	C23	Патологические состояния, признаки и симптомы
Epileptic drop attack	C23	Патологические состояния, признаки и симптомы
Seizures, Somatosensory	C23	Патологические состояния, признаки и симптомы
Seizures, Auditory	C23	Патологические состояния, признаки и симптомы
Olfactory seizure	C23	Патологические состояния, признаки и симптомы
Gustatory seizure	C23	Патологические состояния, признаки и симптомы
Vertiginous seizure	C23	Патологические состояния, признаки и симптомы
Tonic - clonic seizures	C23	Патологические состояния, признаки и симптомы
Non-epileptic convulsion	C23	Патологические состояния, признаки и симптомы
Single Seizure	C23	Патологические состояния, признаки и симптомы
Atonic Absence Seizures	C23	Патологические состояния, признаки и симптомы
Convulsive Seizures	C23	Патологические состояния, признаки и симптомы
Seizures, Focal	C23	Патологические состояния, признаки и симптомы
Seizures, Sensory	C23	Патологические состояния, признаки и симптомы
Nonepileptic Seizures	C23	Патологические состояния, признаки и симптомы
Convulsions	C23	Патологические состояния, признаки и симптомы
Absence Seizures	C23	Патологические состояния, признаки и симптомы
Epileptic Seizures	C23	Патологические состояния, признаки и симптомы
Myoclonic Seizures	C23	Патологические состояния, признаки и симптомы
Generalized Absence Seizures	C23	Патологические состояния, признаки и симптомы
Hematuria	C23	Патологические состояния, признаки и симптомы
Hematoma, Subdural, Acute	C23	Патологические состояния, признаки и симптомы
Henoch-Schoenlein Purpura	C23	Патологические состояния, признаки и симптомы
Vasculitis, Hemorrhagic	C23	Патологические состояния, признаки и симптомы
Rheumatoid Purpura	C23	Патологические состояния, признаки и симптомы
Purpura, Nonthrombocytopenic	C23	Патологические состояния, признаки и симптомы
Purpura Hemorrhagica	C23	Патологические состояния, признаки и симптомы
Erythema	C23	Патологические состояния, признаки и симптомы
Corticosteroid-Binding Globulin Deficiency	C23	Патологические состояния, признаки и симптомы
Neoplasm Recurrence, Local	C23	Патологические состояния, признаки и симптомы
Hydrops Fetalis	C23	Патологические состояния, признаки и симптомы
Hydrops Fetalis, Non-Immune	C23	Патологические состояния, признаки и симптомы
Alpha-Thalassemia Mental Retardation Syndrome, Deletion-Type	C23	Патологические состояния, признаки и симптомы
Amnesia	C23	Патологические состояния, признаки и симптомы
Delirium	C23	Патологические состояния, признаки и симптомы
Hysterical amnesia	C23	Патологические состояния, признаки и симптомы
Temporary Amnesia	C23	Патологические состояния, признаки и симптомы
Dissociative Amnesia	C23	Патологические состояния, признаки и симптомы
Global Amnesia	C23	Патологические состояния, признаки и симптомы
Tactile Amnesia	C23	Патологические состояния, признаки и симптомы
Amnestic State	C23	Патологические состояния, признаки и симптомы
Coughing	C23	Патологические состояния, признаки и симптомы
Extravasation of Contrast Media	C23	Патологические состояния, признаки и симптомы
Hyperesthesia	C23	Патологические состояния, признаки и симптомы
Tachycardia	C23	Патологические состояния, признаки и симптомы
Tachyarrhythmia	C23	Патологические состояния, признаки и симптомы
Hyperesthesia, Tactile	C23	Патологические состояния, признаки и симптомы
Hyperesthesia, Thermal	C23	Патологические состояния, признаки и симптомы
TNF receptor-associated periodic fever syndrome (TRAPS)	C23	Патологические состояния, признаки и симптомы
Endotoxic shock	C23	Патологические состояния, признаки и симптомы
Septic Shock	C23	Патологические состояния, признаки и симптомы
Toxic Shock Syndrome	C23	Патологические состояния, признаки и симптомы
Endotoxemia	C23	Патологические состояния, признаки и симптомы
Kienbock Disease	C23	Патологические состояния, признаки и симптомы
Avascular necrosis of bone	C23	Патологические состояния, признаки и симптомы
Bone necrosis	C23	Патологические состояния, признаки и симптомы
Aseptic Necrosis of Bone	C23	Патологические состояния, признаки и симптомы
Aortic Aneurysm, Familial Thoracic 6	C23	Патологические состояния, признаки и симптомы
Learning Disorders	C23	Патологические состояния, признаки и симптомы
Hypokinesia	C23	Патологические состояния, признаки и симптомы
Bradykinesia	C23	Патологические состояния, признаки и симптомы
Hypodynamia	C23	Патологические состояния, признаки и симптомы
Adult Learning Disorders	C23	Патологические состояния, признаки и симптомы
Learning Disturbance	C23	Патологические состояния, признаки и симптомы
Learning Disabilities	C23	Патологические состояния, признаки и симптомы
Hypokinesia, Antiorthostatic	C23	Патологические состояния, признаки и симптомы
Developmental Academic Disorder	C23	Патологические состояния, признаки и симптомы
Neurologic Manifestations	C23	Патологические состояния, признаки и симптомы
Neurologic Symptoms	C23	Патологические состояния, признаки и симптомы
Neurological observations	C23	Патологические состояния, признаки и симптомы
Neurologic Deficits	C23	Патологические состояния, признаки и симптомы
Focal Neurologic Deficits	C23	Патологические состояния, признаки и симптомы
Neurologic Dysfunction	C23	Патологические состояния, признаки и симптомы
Neurologic Signs	C23	Патологические состояния, признаки и симптомы
Status Epilepticus	C23	Патологические состояния, признаки и симптомы
Overactive Detrusor	C23	Патологические состояния, признаки и симптомы
Petit mal status	C23	Патологические состояния, признаки и симптомы
Grand Mal Status Epilepticus	C23	Патологические состояния, признаки и симптомы
Complex Partial Status Epilepticus	C23	Патологические состояния, признаки и симптомы
Neurobehavioral Manifestations	C23	Патологические состояния, признаки и симптомы
Status Epilepticus, Subclinical	C23	Патологические состояния, признаки и симптомы
Non-Convulsive Status Epilepticus	C23	Патологические состояния, признаки и симптомы
Simple Partial Status Epilepticus	C23	Патологические состояния, признаки и симптомы
Overactive Bladder	C23	Патологические состояния, признаки и симптомы
Congenital diaphragmatic hernia	C23	Патологические состояния, признаки и симптомы
Congenital hernia of foramen of Morgagni	C23	Патологические состояния, признаки и симптомы
Congenital hernia of foramen of Bochdalek	C23	Патологические состояния, признаки и симптомы
Ataxia	C23	Патологические состояния, признаки и симптомы
Dyskinetic syndrome	C23	Патологические состояния, признаки и симптомы
Dystonia	C23	Патологические состояния, признаки и симптомы
Lingual-Facial-Buccal Dyskinesia	C23	Патологические состояния, признаки и симптомы
Hemiballismus	C23	Патологические состояния, признаки и симптомы
Asterixis	C23	Патологические состояния, признаки и симптомы
Ataxia, Sensory	C23	Патологические состояния, признаки и симптомы
Ataxia, Motor	C23	Патологические состояния, признаки и симптомы
Involuntary Movements	C23	Патологические состояния, признаки и симптомы
Ataxia, Truncal	C23	Патологические состояния, признаки и симптомы
Oral Dyskinesia	C23	Патологические состояния, признаки и симптомы
Abnormal coordination	C23	Патологические состояния, признаки и симптомы
Ataxia, Appendicular	C23	Патологические состояния, признаки и симптомы
Tremor, Rubral	C23	Патологические состояния, признаки и симптомы
Ballismus	C23	Патологические состояния, признаки и симптомы
Apnea	C23	Патологические состояния, признаки и симптомы
Muscular fasciculation	C23	Патологические состояния, признаки и симптомы
Trismus	C23	Патологические состояния, признаки и симптомы
Todd Paralysis	C23	Патологические состояния, признаки и симптомы
Fasciculation, Tongue	C23	Патологические состояния, признаки и симптомы
Masseter Muscle Spasm	C23	Патологические состояния, признаки и симптомы
Pseudocholinesterase deficiency	C23	Патологические состояния, признаки и симптомы
Lockjaw	C23	Патологические состояния, признаки и симптомы
Paralysed	C23	Патологические состояния, признаки и симптомы
Fasciculation, Skeletal Muscle	C23	Патологические состояния, признаки и симптомы
Fasciculation, Benign	C23	Патологические состояния, признаки и симптомы
Butyrylcholinesterase deficiency	C23	Патологические состояния, признаки и симптомы
Suxamethonium sensitivity	C23	Патологические состояния, признаки и симптомы
Apnea, Postanesthetic	C23	Патологические состояния, признаки и симптомы
Acrogeria	C23	Патологические состояния, признаки и симптомы
ANEURYSM, INTRACRANIAL BERRY, 1 (disorder)	C23	Патологические состояния, признаки и симптомы
Knobloch syndrome	C23	Патологические состояния, признаки и симптомы
Knobloch Syndrome, Type I	C23	Патологические состояния, признаки и симптомы
Sudden Cardiac Death	C23	Патологические состояния, признаки и симптомы
Hamman-Rich syndrome	C23	Патологические состояния, признаки и симптомы
Sudden Cardiac Arrest	C23	Патологические состояния, признаки и симптомы
ST segment elevation myocardial infarction	C23	Патологические состояния, признаки и симптомы
Cluttering	C23	Патологические состояния, признаки и симптомы
Language Delay	C23	Патологические состояния, признаки и симптомы
Language Development Disorders	C23	Патологические состояния, признаки и симптомы
Speech Disorders	C23	Патологические состояния, признаки и симптомы
Aprosodia	C23	Патологические состояния, признаки и симптомы
Speech Delay	C23	Патологические состояния, признаки и симптомы
Semantic-Pragmatic Disorder	C23	Патологические состояния, признаки и симптомы
Auditory Processing Disorder, Central	C23	Патологические состояния, признаки и симптомы
Dysglossia	C23	Патологические состояния, признаки и симптомы
Rhinolalia	C23	Патологические состояния, признаки и симптомы
Verbal Fluency Disorders	C23	Патологические состояния, признаки и симптомы
Dyslalia	C23	Патологические состояния, признаки и симптомы
Early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation	C23	Патологические состояния, признаки и симптомы
Kidney Calculi	C23	Патологические состояния, признаки и симптомы
Ureteral Calculi	C23	Патологические состояния, признаки и симптомы
Muscular Atrophy	C23	Патологические состояния, признаки и симптомы
Seckel syndrome	C23	Патологические состояния, признаки и симптомы
Neurogenic Muscular Atrophy	C23	Патологические состояния, признаки и симптомы
Insulin-Like Growth Factor I Deficiency	C23	Патологические состояния, признаки и симптомы
Gastrointestinal Hemorrhage	C23	Патологические состояния, признаки и симптомы
Hematochezia	C23	Патологические состояния, признаки и симптомы
Incontinentia Pigmenti Achromians	C23	Патологические состояния, признаки и симптомы
Schamberg Disease	C23	Патологические состояния, признаки и симптомы
Pigmentation Disorders	C23	Патологические состояния, признаки и симптомы
Stable angina	C23	Патологические состояния, признаки и симптомы
Memory Disorders	C23	Патологические состояния, признаки и симптомы
Progressive supranuclear palsy	C23	Патологические состояния, признаки и симптомы
Memory impairment	C23	Патологические состояния, признаки и симптомы
Akathisia	C23	Патологические состояния, признаки и симптомы
Age-Related Memory Disorders	C23	Патологические состояния, признаки и симптомы
Memory Disorder, Semantic	C23	Патологические состояния, признаки и симптомы
Memory Disorder, Spatial	C23	Патологические состояния, признаки и симптомы
Memory Loss	C23	Патологические состояния, признаки и симптомы
Primary Progressive Nonfluent Aphasia	C23	Патологические состояния, признаки и симптомы
Supranuclear Palsy, Progressive, 1, Atypical	C23	Патологические состояния, признаки и симптомы
Psychomotor Agitation	C23	Патологические состояния, признаки и симптомы
Ophthalmoplegia, Progressive Supranuclear	C23	Патологические состояния, признаки и симптомы
Supranuclear Palsy, Progressive, 1	C23	Патологические состояния, признаки и симптомы
Angina, Unstable	C23	Патологические состояния, признаки и симптомы
Myocardial Preinfarction Syndrome	C23	Патологические состояния, признаки и симптомы
Dyskinesia, Drug-Induced	C23	Патологические состояния, признаки и симптомы
Dyskinesia, Medication-Induced	C23	Патологические состояния, признаки и симптомы
CAMPTODACTYLY-ARTHROPATHY-COXA VARA-PERICARDITIS SYNDROME	C23	Патологические состояния, признаки и симптомы
Myelocerebellar Disorder	C23	Патологические состояния, признаки и симптомы
Nonsyndromic Deafness	C23	Патологические состояния, признаки и симптомы
Purpura, Thrombotic Thrombocytopenic	C23	Патологические состояния, признаки и симптомы
Congenital Thrombotic Thrombocytopenic Purpura	C23	Патологические состояния, признаки и симптомы
Neuropathy, Painful	C23	Патологические состояния, признаки и симптомы
Familial Thrombotic Thrombocytopenic Purpura	C23	Патологические состояния, признаки и симптомы
Coffin-Siris syndrome	C23	Патологические состояния, признаки и симптомы
Hypoglycemia	C18	Болезни нарушения питания и обмена веществ
Thiamine Deficiency	C18	Болезни нарушения питания и обмена веществ
Fasting Hypoglycemia	C18	Болезни нарушения питания и обмена веществ
Reactive hypoglycemia	C18	Болезни нарушения питания и обмена веществ
Calcinosis	C18	Болезни нарушения питания и обмена веществ
Tumoral calcinosis	C18	Болезни нарушения питания и обмена веществ
Microcalcification	C18	Болезни нарушения питания и обмена веществ
Hypercholesterolemia	C18	Болезни нарушения питания и обмена веществ
Lipid Metabolism Disorders	C18	Болезни нарушения питания и обмена веществ
Hyperlipidemia	C18	Болезни нарушения питания и обмена веществ
Hypertriglyceridemia	C18	Болезни нарушения питания и обмена веществ
Dyslipidemias	C18	Болезни нарушения питания и обмена веществ
Dyslipoproteinemias	C18	Болезни нарушения питания и обмена веществ
Hypobetalipoproteinemia, Familial, Apolipoprotein B	C18	Болезни нарушения питания и обмена веществ
Lipidemias	C18	Болезни нарушения питания и обмена веществ
Familial hypobetalipoproteinemia	C18	Болезни нарушения питания и обмена веществ
Acanthocytosis With Hypobetalipoproteinemia	C18	Болезни нарушения питания и обмена веществ
Metabolic Diseases	C18	Болезни нарушения питания и обмена веществ
Metabolic Syndrome X	C18	Болезни нарушения питания и обмена веществ
Hypercalcemia	C18	Болезни нарушения питания и обмена веществ
Milk-Alkali Syndrome	C18	Болезни нарушения питания и обмена веществ
Hyperlipoproteinemias	C18	Болезни нарушения питания и обмена веществ
Iron Overload	C18	Болезни нарушения питания и обмена веществ
Iron Overload, Autosomal Dominant	C18	Болезни нарушения питания и обмена веществ
Iron Metabolism Disorders	C18	Болезни нарушения питания и обмена веществ
Hypokalemia	C18	Болезни нарушения питания и обмена веществ
Vitamin A Deficiency	C18	Болезни нарушения питания и обмена веществ
Keratomalacia	C18	Болезни нарушения питания и обмена веществ
Xerotic keratitis	C18	Болезни нарушения питания и обмена веществ
Retinol Deficiency	C18	Болезни нарушения питания и обмена веществ
Acidosis, Lactic	C18	Болезни нарушения питания и обмена веществ
Amyloidosis	C18	Болезни нарушения питания и обмена веществ
Hyperglycemia	C18	Болезни нарушения питания и обмена веществ
Insulin Resistance	C18	Болезни нарушения питания и обмена веществ
Insulin Sensitivity	C18	Болезни нарушения питания и обмена веществ
Hyperglycemia, Postprandial	C18	Болезни нарушения питания и обмена веществ
Alkalosis	C18	Болезни нарушения питания и обмена веществ
Impaired glucose tolerance	C18	Болезни нарушения питания и обмена веществ
Apolipoprotein C-III Deficiency	C18	Болезни нарушения питания и обмена веществ
Hyperinsulinism	C18	Болезни нарушения питания и обмена веществ
Endogenous Hyperinsulinism	C18	Болезни нарушения питания и обмена веществ
Exogenous Hyperinsulinism	C18	Болезни нарушения питания и обмена веществ
Compensatory Hyperinsulinemia	C18	Болезни нарушения питания и обмена веществ
Vascular calcification	C18	Болезни нарушения питания и обмена веществ
Hepatolenticular Degeneration	C18	Болезни нарушения питания и обмена веществ
Hepatic Form of Wilson Disease	C18	Болезни нарушения питания и обмена веществ
Amyloidosis, familial visceral	C18	Болезни нарушения питания и обмена веществ
Apolipoprotein A-I deficiency	C18	Болезни нарушения питания и обмена веществ
Hypoalphalipoproteinemia, Familial	C18	Болезни нарушения питания и обмена веществ
Ataxia with vitamin E deficiency	C18	Болезни нарушения питания и обмена веществ
Pediatric Obesity	C18	Болезни нарушения питания и обмена веществ
Adolescent Obesity	C18	Болезни нарушения питания и обмена веществ
Childhood Overweight	C18	Болезни нарушения питания и обмена веществ
Infantile Obesity	C18	Болезни нарушения питания и обмена веществ
Infant Overweight	C18	Болезни нарушения питания и обмена веществ
Adolescent Overweight	C18	Болезни нарушения питания и обмена веществ
Celiac Disease	C18	Болезни нарушения питания и обмена веществ
Hypercholesterolemia, Familial	C18	Болезни нарушения питания и обмена веществ
Hyperlipoproteinemia Type IIa	C18	Болезни нарушения питания и обмена веществ
Hyperlipoproteinemia Type IIb	C18	Болезни нарушения питания и обмена веществ
Hypolipoproteinemias	C18	Болезни нарушения питания и обмена веществ
Hypoprebetalipoproteinemia	C18	Болезни нарушения питания и обмена веществ
Hypoproteinemia, Hypercatabolic	C18	Болезни нарушения питания и обмена веществ
Bare Lymphocyte Syndrome, Type I	C18	Болезни нарушения питания и обмена веществ
Autosomal dominant beta2-microglobulinic amyloidosis	C18	Болезни нарушения питания и обмена веществ
Biotinidase Deficiency	C18	Болезни нарушения питания и обмена веществ
Diabetes Mellitus, Insulin-Dependent	C18	Болезни нарушения питания и обмена веществ
Obesity	C18	Болезни нарушения питания и обмена веществ
Diabetes, Autoimmune	C18	Болезни нарушения питания и обмена веществ
Brittle diabetes	C18	Болезни нарушения питания и обмена веществ
Diabetes Mellitus, Ketosis-Prone	C18	Болезни нарушения питания и обмена веществ
Diabetes Mellitus, Sudden-Onset	C18	Болезни нарушения питания и обмена веществ
Cholesteryl Ester Transfer Protein Deficiency	C18	Болезни нарушения питания и обмена веществ
Osteoporosis, Age-Related	C18	Болезни нарушения питания и обмена веществ
Osteoporosis	C18	Болезни нарушения питания и обмена веществ
Osteoporosis, Senile	C18	Болезни нарушения питания и обмена веществ
EHLERS-DANLOS SYNDROME, ARTHROCHALASIA TYPE	C18	Болезни нарушения питания и обмена веществ
Post-Traumatic Osteoporosis	C18	Болезни нарушения питания и обмена веществ
Familial Cerebral Amyloid Angiopathy	C18	Болезни нарушения питания и обмена веществ
Cerebral Amyloid Angiopathy, Hereditary	C18	Болезни нарушения питания и обмена веществ
Hereditary Cerebral Amyloid Angiopathy, Icelandic Type	C18	Болезни нарушения питания и обмена веществ
AMYOTROPHIC LATERAL SCLEROSIS 1	C18	Болезни нарушения питания и обмена веществ
Amyotrophic Lateral Sclerosis, Sporadic	C18	Болезни нарушения питания и обмена веществ
Cerebral Amyloid Angiopathy, Genetic	C18	Болезни нарушения питания и обмена веществ
Amyotrophic Lateral Sclerosis, Familial	C18	Болезни нарушения питания и обмена веществ
Hyperferritinemia, hereditary, with congenital cataracts	C18	Болезни нарушения питания и обмена веществ
Neuroferritinopathy	C18	Болезни нарушения питания и обмена веществ
Amyloidosis, Familial	C18	Болезни нарушения питания и обмена веществ
Diabetes Mellitus	C18	Болезни нарушения питания и обмена веществ
Hereditary fructose intolerance syndrome	C18	Болезни нарушения питания и обмена веществ
Diabetes Mellitus, Non-Insulin-Dependent	C18	Болезни нарушения питания и обмена веществ
Hemochromatosis	C18	Болезни нарушения питания и обмена веществ
Hereditary hemochromatosis	C18	Болезни нарушения питания и обмена веществ
