source	target	diseaseName
Nucleoside diphosphate kinase A	Заболевания пищеварительной системы	Liver carcinoma
Occludin	Заболевания пищеварительной системы	Hepatic Veno-Occlusive Disease
Osteopontin	Заболевания пищеварительной системы	Hepatitis, Toxic
Osteopontin	Заболевания пищеварительной системы	Hepatoma, Morris
Osteopontin	Заболевания пищеварительной системы	Hepatoma, Novikoff
Osteopontin	Заболевания пищеварительной системы	Liver Cirrhosis
Osteopontin	Заболевания пищеварительной системы	Alcoholic Liver Diseases
Osteopontin	Заболевания пищеварительной системы	Liver Neoplasms, Experimental
Osteopontin	Заболевания пищеварительной системы	Experimental Hepatoma
Osteopontin	Заболевания пищеварительной системы	Fibrosis, Liver
Osteopontin	Заболевания пищеварительной системы	Drug-Induced Liver Disease
Osteopontin	Заболевания пищеварительной системы	Hepatitis, Drug-Induced
Osteopontin	Заболевания пищеварительной системы	Drug-Induced Acute Liver Injury
Osteopontin	Заболевания пищеварительной системы	Chemical and Drug Induced Liver Injury
Osteopontin	Заболевания пищеварительной системы	Chemically-Induced Liver Toxicity
Peroxiredoxin-1	Заболевания пищеварительной системы	Esophageal Neoplasms
Peroxiredoxin-1	Заболевания пищеварительной системы	Hepatoma, Morris
Peroxiredoxin-1	Заболевания пищеварительной системы	Hepatoma, Novikoff
Peroxiredoxin-1	Заболевания пищеварительной системы	Liver Neoplasms, Experimental
Peroxiredoxin-1	Заболевания пищеварительной системы	Experimental Hepatoma
Peroxiredoxin-1	Заболевания пищеварительной системы	Squamous cell carcinoma of esophagus
Peroxiredoxin-1	Заболевания пищеварительной системы	Malignant neoplasm of esophagus
Peroxiredoxin-1	Заболевания пищеварительной системы	Liver carcinoma
Peroxiredoxin-2	Заболевания пищеварительной системы	Esophageal Neoplasms
Peroxiredoxin-2	Заболевания пищеварительной системы	Malignant neoplasm of esophagus
Peroxiredoxin-2	Заболевания пищеварительной системы	Liver carcinoma
Phosphatidylcholine-sterol acyltransferase	Заболевания пищеварительной системы	Liver carcinoma
Phospholipid transfer protein	Заболевания пищеварительной системы	Liver Cirrhosis, Experimental
Plastin-2	Заболевания пищеварительной системы	Liver Cirrhosis, Experimental
Pregnancy zone protein	Заболевания пищеварительной системы	Colorectal Carcinoma
Pregnancy zone protein	Заболевания пищеварительной системы	Hepatitis, Toxic
Pregnancy zone protein	Заболевания пищеварительной системы	Drug-Induced Liver Disease
Pregnancy zone protein	Заболевания пищеварительной системы	Hepatitis, Drug-Induced
Pregnancy zone protein	Заболевания пищеварительной системы	Liver carcinoma
Pregnancy zone protein	Заболевания пищеварительной системы	Drug-Induced Acute Liver Injury
Pregnancy zone protein	Заболевания пищеварительной системы	Chemical and Drug Induced Liver Injury
Pregnancy zone protein	Заболевания пищеварительной системы	Chemically-Induced Liver Toxicity
Protein AMBP	Заболевания пищеварительной системы	Hepatitis, Toxic
Protein AMBP	Заболевания пищеварительной системы	Drug-Induced Liver Disease
Protein AMBP	Заболевания пищеварительной системы	Hepatitis, Drug-Induced
Protein AMBP	Заболевания пищеварительной системы	Drug-Induced Acute Liver Injury
Protein AMBP	Заболевания пищеварительной системы	Chemical and Drug Induced Liver Injury
Protein AMBP	Заболевания пищеварительной системы	Chemically-Induced Liver Toxicity
Protein_deglycase_DJ-1	Заболевания пищеварительной системы	Hepatitis, Toxic
Protein_deglycase_DJ-1	Заболевания пищеварительной системы	Drug-Induced Liver Disease
Protein_deglycase_DJ-1	Заболевания пищеварительной системы	Hepatitis, Drug-Induced
Protein_deglycase_DJ-1	Заболевания пищеварительной системы	Liver carcinoma
Protein_deglycase_DJ-1	Заболевания пищеварительной системы	Drug-Induced Acute Liver Injury
Protein_deglycase_DJ-1	Заболевания пищеварительной системы	Chemical and Drug Induced Liver Injury
Protein_deglycase_DJ-1	Заболевания пищеварительной системы	Chemically-Induced Liver Toxicity
Ras GTPase-activating protein nGAP	Заболевания пищеварительной системы	Colorectal Carcinoma
Serum amyloid P-component	Заболевания пищеварительной системы	Liver neoplasms
Serum amyloid P-component	Заболевания пищеварительной системы	Malignant neoplasm of liver
Serum amyloid P-component	Заболевания пищеварительной системы	Liver carcinoma
Serum paraoxonase/arylesterase 1	Заболевания пищеварительной системы	Hemorrhoids
Serum paraoxonase/arylesterase 1	Заболевания пищеварительной системы	Hepatitis, Toxic
Serum paraoxonase/arylesterase 1	Заболевания пищеварительной системы	Drug-Induced Liver Disease
Serum paraoxonase/arylesterase 1	Заболевания пищеварительной системы	Hepatitis, Drug-Induced
Serum paraoxonase/arylesterase 1	Заболевания пищеварительной системы	Drug-Induced Acute Liver Injury
Serum paraoxonase/arylesterase 1	Заболевания пищеварительной системы	Chemical and Drug Induced Liver Injury
Serum paraoxonase/arylesterase 1	Заболевания пищеварительной системы	Chemically-Induced Liver Toxicity
SPARC	Заболевания пищеварительной системы	Malignant tumor of colon
SPARC	Заболевания пищеварительной системы	Colonic Neoplasms
SPARC	Заболевания пищеварительной системы	Colorectal Carcinoma
SPARC	Заболевания пищеварительной системы	Colorectal Neoplasms
SPARC	Заболевания пищеварительной системы	Liver Cirrhosis
SPARC	Заболевания пищеварительной системы	Liver Cirrhosis, Experimental
SPARC	Заболевания пищеварительной системы	Fibrosis, Liver
Stromelysin-1	Заболевания пищеварительной системы	Celiac Disease
Tenascin-X	Заболевания пищеварительной системы	Squamous cell carcinoma of esophagus
Thrombomodulin	Заболевания пищеварительной системы	Liver Cirrhosis, Experimental
Thrombomodulin	Заболевания пищеварительной системы	Malignant neoplasm of stomach
Thrombomodulin	Заболевания пищеварительной системы	Stomach Neoplasms
Thrombomodulin	Заболевания пищеварительной системы	Hereditary Diffuse Gastric Cancer
Thrombospondin-1	Заболевания пищеварительной системы	Liver Cirrhosis
Thrombospondin-1	Заболевания пищеварительной системы	Fibrosis, Liver
Vascular cell adhesion protein 1	Заболевания пищеварительной системы	Cholestasis of pregnancy
Vascular cell adhesion protein 1	Заболевания пищеварительной системы	Liver carcinoma
Vascular cell adhesion protein 1	Заболевания пищеварительной системы	Familial intrahepatic cholestasis of pregnancy
Vasorin	Заболевания пищеварительной системы	Liver carcinoma
Vitronectin	Заболевания пищеварительной системы	Liver Cirrhosis
Vitronectin	Заболевания пищеварительной системы	Fibrosis, Liver
Xaa-Pro dipeptidase	Заболевания пищеварительной системы	Hepatomegaly
Alpha-1-antitrypsin	Новообразования	Adenocarcinoma
Alpha-1-antitrypsin	Новообразования	Adenocarcinoma, Basal Cell
Alpha-1-antitrypsin	Новообразования	Adenocarcinoma, Oxyphilic
Alpha-1-antitrypsin	Новообразования	Carcinoma, Cribriform
Alpha-1-antitrypsin	Новообразования	Carcinoma, Granular Cell
Alpha-1-antitrypsin	Новообразования	Adenocarcinoma, Tubular
Apolipoprotein A-I	Новообразования	Adenocarcinoma
Apolipoprotein A-I	Новообразования	Adenocarcinoma of lung (disorder)
Apolipoprotein A-I	Новообразования	Adenocarcinoma, Basal Cell
Apolipoprotein A-I	Новообразования	Adenocarcinoma, Oxyphilic
Apolipoprotein A-I	Новообразования	Carcinoma, Cribriform
Apolipoprotein A-I	Новообразования	Carcinoma, Granular Cell
Apolipoprotein A-I	Новообразования	Adenocarcinoma, Tubular
Cholinesterase	Новообразования	Pheochromocytoma
Cholinesterase	Новообразования	Pheochromocytoma, Extra-Adrenal
Coagulation factor XIII B chain	Новообразования	Dermatofibrosarcoma Protuberans
Creatine kinase B-type	Новообразования	Adenocarcinoma
Creatine kinase B-type	Новообразования	Adenocarcinoma, Basal Cell
Creatine kinase B-type	Новообразования	Adenocarcinoma, Oxyphilic
Creatine kinase B-type	Новообразования	Carcinoma, Cribriform
Creatine kinase B-type	Новообразования	Carcinoma, Granular Cell
Creatine kinase B-type	Новообразования	Adenocarcinoma, Tubular
Cystatin-C	Новообразования	Leukemia, Myelocytic, Acute
Cystatin-C	Новообразования	Acute Myeloid Leukemia, M1
Cystatin-C	Новообразования	Acute Myeloid Leukemia (AML-M2)
Ferritin heavy chain	Новообразования	Glioma
Ferritin heavy chain	Новообразования	Precancerous Conditions
Ferritin heavy chain	Новообразования	mixed gliomas
Ferritin heavy chain	Новообразования	Condition, Preneoplastic
Ferritin heavy chain	Новообразования	Malignant Glioma
Fibronectin	Новообразования	Carcinoma
Fibronectin	Новообразования	Glioblastoma
Fibronectin	Новообразования	Mammary Neoplasms, Experimental
Fibronectin	Новообразования	Anaplastic carcinoma
Fibronectin	Новообразования	Carcinoma, Spindle-Cell
Fibronectin	Новообразования	Undifferentiated carcinoma
Fibronectin	Новообразования	Carcinomatosis
Fibronectin	Новообразования	Giant Cell Glioblastoma
Fibronectin	Новообразования	Glioblastoma Multiforme
Haptoglobin	Новообразования	leukemia
Insulin-like growth factor-binding protein 1	Новообразования	Precancerous Conditions
Insulin-like growth factor-binding protein 1	Новообразования	Condition, Preneoplastic
Insulin-like growth factor-binding protein 3	Новообразования	Carcinoma, Transitional Cell
Myeloperoxidase	Новообразования	Precancerous Conditions
Myeloperoxidase	Новообразования	Condition, Preneoplastic
Prolactin	Новообразования	Adenocarcinoma
Prolactin	Новообразования	Adenoma
Prolactin	Новообразования	Mammary Neoplasms, Experimental
Prolactin	Новообразования	Adenocarcinoma, Basal Cell
Prolactin	Новообразования	Adenocarcinoma, Oxyphilic
Prolactin	Новообразования	Carcinoma, Cribriform
Prolactin	Новообразования	Carcinoma, Granular Cell
Prolactin	Новообразования	Adenocarcinoma, Tubular
Prolactin	Новообразования	Adenoma, Basal Cell
Prolactin	Новообразования	Follicular adenoma
Prolactin	Новообразования	Adenoma, Microcystic
Prolactin	Новообразования	Adenoma, Monomorphic
Prolactin	Новообразования	Papillary adenoma
Prolactin	Новообразования	Adenoma, Trabecular
Retinol-binding protein 4	Новообразования	Carcinoma
Retinol-binding protein 4	Новообразования	Mammary Neoplasms, Experimental
Retinol-binding protein 4	Новообразования	Anaplastic carcinoma
Retinol-binding protein 4	Новообразования	Carcinoma, Spindle-Cell
Retinol-binding protein 4	Новообразования	Undifferentiated carcinoma
Retinol-binding protein 4	Новообразования	Carcinomatosis
Serotransferrin	Новообразования	Carcinoma
Serotransferrin	Новообразования	Mammary Neoplasms, Experimental
Serotransferrin	Новообразования	Adenocarcinoma of lung (disorder)
Serotransferrin	Новообразования	Anaplastic carcinoma
Serotransferrin	Новообразования	Carcinoma, Spindle-Cell
Serotransferrin	Новообразования	Undifferentiated carcinoma
Serotransferrin	Новообразования	Carcinomatosis
Serum albumin	Новообразования	Adenocarcinoma of lung (disorder)
Transferrin receptor protein 1	Новообразования	Glioma
Transferrin receptor protein 1	Новообразования	mixed gliomas
Transferrin receptor protein 1	Новообразования	Malignant Glioma
Epidermal growth factor receptor	Новообразования	Adenocarcinoma
Epidermal growth factor receptor	Новообразования	Malignant Neoplasms
Epidermal growth factor receptor	Новообразования	Carcinoma
Epidermal growth factor receptor	Новообразования	Squamous cell carcinoma
Epidermal growth factor receptor	Новообразования	Glioblastoma
Epidermal growth factor receptor	Новообразования	Glioma
Epidermal growth factor receptor	Новообразования	Head and Neck Neoplasms
Epidermal growth factor receptor	Новообразования	Head Neoplasms
Epidermal growth factor receptor	Новообразования	Mammary Neoplasms, Experimental
Epidermal growth factor receptor	Новообразования	Mesothelioma
Epidermal growth factor receptor	Новообразования	Neck Neoplasms
Epidermal growth factor receptor	Новообразования	Osteosarcoma
Epidermal growth factor receptor	Новообразования	Papilloma
Epidermal growth factor receptor	Новообразования	Adenocarcinoma of lung (disorder)
Epidermal growth factor receptor	Новообразования	Adenocarcinoma, Basal Cell
Epidermal growth factor receptor	Новообразования	Adenocarcinoma, Oxyphilic
Epidermal growth factor receptor	Новообразования	Carcinoma, Cribriform
Epidermal growth factor receptor	Новообразования	Carcinoma, Granular Cell
Epidermal growth factor receptor	Новообразования	Adenocarcinoma, Tubular
Epidermal growth factor receptor	Новообразования	Anaplastic carcinoma
Epidermal growth factor receptor	Новообразования	Carcinoma, Spindle-Cell
Epidermal growth factor receptor	Новообразования	Undifferentiated carcinoma
Epidermal growth factor receptor	Новообразования	Carcinomatosis
Epidermal growth factor receptor	Новообразования	Papilloma, Squamous Cell
Epidermal growth factor receptor	Новообразования	Papillomatosis
Epidermal growth factor receptor	Новообразования	Cholangiocarcinoma
Epidermal growth factor receptor	Новообразования	gliosarcoma
Epidermal growth factor receptor	Новообразования	Malignant Head and Neck Neoplasm
Epidermal growth factor receptor	Новообразования	Giant Cell Glioblastoma
Epidermal growth factor receptor	Новообразования	Intrahepatic Cholangiocarcinoma
Epidermal growth factor receptor	Новообразования	Cancer of Neck
Epidermal growth factor receptor	Новообразования	Cancer of Head
Epidermal growth factor receptor	Новообразования	Upper Aerodigestive Tract Neoplasms
Epidermal growth factor receptor	Новообразования	Squamous cell carcinoma of the head and neck
Epidermal growth factor receptor	Новообразования	Glioblastoma Multiforme
Epidermal growth factor receptor	Новообразования	Extrahepatic Cholangiocarcinoma
Epidermal growth factor receptor	Новообразования	Head and Neck Carcinoma
Gamma-enolase	Новообразования	Leukemia, Myelocytic, Acute
Gamma-enolase	Новообразования	Acute Myeloid Leukemia, M1
Gamma-enolase	Новообразования	Neoplasms, Experimental
Gamma-enolase	Новообразования	Acute Myeloid Leukemia (AML-M2)
Glutathione peroxidase 3	Новообразования	Adenocarcinoma
Glutathione peroxidase 3	Новообразования	Malignant Neoplasms
Glutathione peroxidase 3	Новообразования	Neoplasms
Glutathione peroxidase 3	Новообразования	Benign Neoplasm
Glutathione peroxidase 3	Новообразования	Adenocarcinoma, Basal Cell
Glutathione peroxidase 3	Новообразования	Adenocarcinoma, Oxyphilic
Glutathione peroxidase 3	Новообразования	Carcinoma, Cribriform
Glutathione peroxidase 3	Новообразования	Carcinoma, Granular Cell
Glutathione peroxidase 3	Новообразования	Adenocarcinoma, Tubular
Hemoglobin subunit alpha	Новообразования	Carcinoma
Hemoglobin subunit alpha	Новообразования	Mammary Neoplasms, Experimental
Hemoglobin subunit alpha	Новообразования	Anaplastic carcinoma
Hemoglobin subunit alpha	Новообразования	Carcinoma, Spindle-Cell
Hemoglobin subunit alpha	Новообразования	Undifferentiated carcinoma
Hemoglobin subunit alpha	Новообразования	Carcinomatosis
Insulin-like growth factor-binding protein 2	Новообразования	Adenoid Cystic Carcinoma
Interleukin-10	Новообразования	Mammary Neoplasms, Experimental
Interleukin-6	Новообразования	Squamous cell carcinoma
Interleukin-6	Новообразования	Precancerous Conditions
Interleukin-6	Новообразования	Cholangiocarcinoma
Interleukin-6	Новообразования	Condition, Preneoplastic
Interleukin-6	Новообразования	Intrahepatic Cholangiocarcinoma
Interleukin-6	Новообразования	Pigmented Basal Cell Carcinoma
Interleukin-6	Новообразования	Extrahepatic Cholangiocarcinoma
Interleukin-6	Новообразования	Carcinoma, Basal Cell
60 kDa heat shock protein mitochondrial	Новообразования	Adenocarcinoma
60 kDa heat shock protein mitochondrial	Новообразования	Adenocarcinoma, Basal Cell
60 kDa heat shock protein mitochondrial	Новообразования	Adenocarcinoma, Oxyphilic
60 kDa heat shock protein mitochondrial	Новообразования	Carcinoma, Cribriform
60 kDa heat shock protein mitochondrial	Новообразования	Carcinoma, Granular Cell
60 kDa heat shock protein mitochondrial	Новообразования	Adenocarcinoma, Tubular
72 KDa type IV collagenase	Новообразования	Glioblastoma
72 KDa type IV collagenase	Новообразования	Mammary Neoplasms, Experimental
72 KDa type IV collagenase	Новообразования	Osteosarcoma
72 KDa type IV collagenase	Новообразования	Giant Cell Glioblastoma
72 KDa type IV collagenase	Новообразования	Glioblastoma Multiforme
A disintegrin and metalloproteinase with thrombospondin motifs 20	Новообразования	melanoma
Actin, alpha cardiac muscle 1	Новообразования	Precancerous Conditions
Actin, alpha cardiac muscle 1	Новообразования	Condition, Preneoplastic
Apolipoprotein D	Новообразования	Glioma
Apolipoprotein D	Новообразования	mixed gliomas
Apolipoprotein D	Новообразования	Malignant Glioma
Apolipoprotein E	Новообразования	Adenocarcinoma
Apolipoprotein E	Новообразования	Adenocarcinoma, Basal Cell
Apolipoprotein E	Новообразования	Adenocarcinoma, Oxyphilic
Apolipoprotein E	Новообразования	Carcinoma, Cribriform
Apolipoprotein E	Новообразования	Carcinoma, Granular Cell
Apolipoprotein E	Новообразования	Adenocarcinoma, Tubular
Aromatase	Новообразования	Adenocarcinoma
Aromatase	Новообразования	Adenocarcinoma, Basal Cell
Aromatase	Новообразования	Adenocarcinoma, Oxyphilic
Aromatase	Новообразования	Carcinoma, Cribriform
Aromatase	Новообразования	Carcinoma, Granular Cell
Aromatase	Новообразования	Adenocarcinoma, Tubular
Carbonic anhydrase 1	Новообразования	Adenocarcinoma
Carbonic anhydrase 1	Новообразования	Adenocarcinoma, Basal Cell
Carbonic anhydrase 1	Новообразования	Adenocarcinoma, Oxyphilic
Carbonic anhydrase 1	Новообразования	Carcinoma, Cribriform
Carbonic anhydrase 1	Новообразования	Carcinoma, Granular Cell
Carbonic anhydrase 1	Новообразования	Adenocarcinoma, Tubular
CD44 antigen	Новообразования	Leukemia, Myelocytic, Acute
CD44 antigen	Новообразования	Acute Promyelocytic Leukemia
CD44 antigen	Новообразования	Mammary Neoplasms, Experimental
CD44 antigen	Новообразования	Acute Myeloid Leukemia, M1
CD44 antigen	Новообразования	Acute Myeloid Leukemia (AML-M2)
cDNA FLJ53327, highly similar to Gelsolin	Новообразования	melanoma
Cholesteryl ester transfer protein	Новообразования	Glioblastoma
Cholesteryl ester transfer protein	Новообразования	Neuroblastoma
Cholesteryl ester transfer protein	Новообразования	Giant Cell Glioblastoma
Cholesteryl ester transfer protein	Новообразования	Glioblastoma Multiforme
Claudin-5	Новообразования	melanoma
Collagen alpha-1(III) chain	Новообразования	Hemangiosarcoma
Galectin-3	Новообразования	melanoma
Gelsolin	Новообразования	Mesothelioma
Glutamate receptor ionotropic NMDA 2A	Новообразования	melanoma
Glutathione S-transferase P	Новообразования	Carcinoma
Glutathione S-transferase P	Новообразования	Glioma
Glutathione S-transferase P	Новообразования	Osteosarcoma
Glutathione S-transferase P	Новообразования	Precancerous Conditions
Glutathione S-transferase P	Новообразования	Anaplastic carcinoma
Glutathione S-transferase P	Новообразования	Carcinoma, Spindle-Cell
Glutathione S-transferase P	Новообразования	Undifferentiated carcinoma
Glutathione S-transferase P	Новообразования	Carcinomatosis
Glutathione S-transferase P	Новообразования	Sarcoma, Epithelioid
Glutathione S-transferase P	Новообразования	Sarcoma, Spindle Cell
Glutathione S-transferase P	Новообразования	mixed gliomas
Glutathione S-transferase P	Новообразования	Condition, Preneoplastic
Glutathione S-transferase P	Новообразования	Prostatic Intraepithelial Neoplasias
Glutathione S-transferase P	Новообразования	Malignant Glioma
Glutathione S-transferase P	Новообразования	Sarcoma
Heat shock protein beta-1	Новообразования	Squamous cell carcinoma
Heat shock protein beta-1	Новообразования	Leukemia, Myelocytic, Acute
Heat shock protein beta-1	Новообразования	Acute Myeloid Leukemia, M1
Heat shock protein beta-1	Новообразования	Adenocarcinoma of lung (disorder)
Heat shock protein beta-1	Новообразования	Acute Myeloid Leukemia (AML-M2)
Insulin-like growth factor I	Новообразования	Adenoma
Insulin-like growth factor I	Новообразования	Mammary Neoplasms, Experimental
Insulin-like growth factor I	Новообразования	Adenoma, Basal Cell
Insulin-like growth factor I	Новообразования	Follicular adenoma
Insulin-like growth factor I	Новообразования	Adenoma, Microcystic
Insulin-like growth factor I	Новообразования	Adenoma, Monomorphic
Insulin-like growth factor I	Новообразования	Papillary adenoma
Insulin-like growth factor I	Новообразования	Adenoma, Trabecular
Insulin-like growth factor I	Новообразования	Squamous cell carcinoma of the head and neck
Keratin type I cytoskeletal 10	Новообразования	Squamous cell carcinoma
Lactotransferrin	Новообразования	Malignant Neoplasms
Lactotransferrin	Новообразования	Neoplasms
Lactotransferrin	Новообразования	Benign Neoplasm
Matrix Gla protein	Новообразования	Carcinoma
Matrix Gla protein	Новообразования	Mammary Neoplasms, Experimental
Matrix Gla protein	Новообразования	Anaplastic carcinoma
Matrix Gla protein	Новообразования	Carcinoma, Spindle-Cell
Matrix Gla protein	Новообразования	Undifferentiated carcinoma
Matrix Gla protein	Новообразования	Carcinomatosis
Matrix metalloproteinase-9	Новообразования	Astrocytoma
Matrix metalloproteinase-9	Новообразования	Squamous cell carcinoma
Matrix metalloproteinase-9	Новообразования	Glioblastoma
Matrix metalloproteinase-9	Новообразования	Mammary Neoplasms, Experimental
Matrix metalloproteinase-9	Новообразования	Subependymal Giant Cell Astrocytoma
Matrix metalloproteinase-9	Новообразования	Juvenile Pilocytic Astrocytoma
Matrix metalloproteinase-9	Новообразования	Diffuse Astrocytoma
Matrix metalloproteinase-9	Новообразования	Anaplastic astrocytoma
Matrix metalloproteinase-9	Новообразования	Protoplasmic astrocytoma
Matrix metalloproteinase-9	Новообразования	Gemistocytic astrocytoma
Matrix metalloproteinase-9	Новообразования	Fibrillary Astrocytoma
Matrix metalloproteinase-9	Новообразования	Pilocytic Astrocytoma
Matrix metalloproteinase-9	Новообразования	Giant Cell Glioblastoma
Matrix metalloproteinase-9	Новообразования	Childhood Cerebral Astrocytoma
Matrix metalloproteinase-9	Новообразования	Mixed oligoastrocytoma
Matrix metalloproteinase-9	Новообразования	Cerebral Astrocytoma
Matrix metalloproteinase-9	Новообразования	Intracranial Astrocytoma
Matrix metalloproteinase-9	Новообразования	Glioblastoma Multiforme
Matrix metalloproteinase-9	Новообразования	Grade I Astrocytoma
Melanotransferrin	Новообразования	melanoma
Neutrophil gelatinase-associated lipocalin	Новообразования	Malignant Neoplasms
Neutrophil gelatinase-associated lipocalin	Новообразования	Neoplasms
Neutrophil gelatinase-associated lipocalin	Новообразования	Benign Neoplasm
Occludin	Новообразования	Malignant Neoplasms
Occludin	Новообразования	Neoplasms
Occludin	Новообразования	Benign Neoplasm
Osteopontin	Новообразования	Adenocarcinoma
Osteopontin	Новообразования	Glioma
Osteopontin	Новообразования	Mammary Neoplasms, Experimental
Osteopontin	Новообразования	Mesothelioma
Osteopontin	Новообразования	Neoplasms, Experimental
Osteopontin	Новообразования	Adenocarcinoma, Basal Cell
Osteopontin	Новообразования	Adenocarcinoma, Oxyphilic
Osteopontin	Новообразования	Carcinoma, Cribriform
Osteopontin	Новообразования	Carcinoma, Granular Cell
Osteopontin	Новообразования	Adenocarcinoma, Tubular
Osteopontin	Новообразования	mixed gliomas
Osteopontin	Новообразования	Malignant Glioma
Peroxiredoxin-1	Новообразования	Precancerous Conditions
Peroxiredoxin-1	Новообразования	Condition, Preneoplastic
Peroxiredoxin-2	Новообразования	Carcinoma
Peroxiredoxin-2	Новообразования	Leukemia, Monocytic, Chronic
Peroxiredoxin-2	Новообразования	Myeloid Leukemia
Peroxiredoxin-2	Новообразования	Mammary Neoplasms, Experimental
Peroxiredoxin-2	Новообразования	melanoma
Peroxiredoxin-2	Новообразования	Osteosarcoma
Peroxiredoxin-2	Новообразования	Anaplastic carcinoma
Peroxiredoxin-2	Новообразования	Carcinoma, Spindle-Cell
Peroxiredoxin-2	Новообразования	Undifferentiated carcinoma
Peroxiredoxin-2	Новообразования	Carcinomatosis
Pigment epithelium-derived factor	Новообразования	Adenoid Cystic Carcinoma
Protein AMBP	Новообразования	Carcinoma, Transitional Cell
Serum paraoxonase/arylesterase 1	Новообразования	Neuroectodermal Tumor, Primitive
Serum paraoxonase/arylesterase 1	Новообразования	Spongioblastoma
Serum paraoxonase/arylesterase 1	Новообразования	Medulloepithelioma
Serum paraoxonase/arylesterase 1	Новообразования	Ependymoblastoma
Serum paraoxonase/arylesterase 1	Новообразования	Cerebral Primitive Neuroectodermal Tumor
SPARC	Новообразования	Leukemia, Myelocytic, Acute
SPARC	Новообразования	Acute Myeloid Leukemia, M1
SPARC	Новообразования	Neoplasms, Experimental
SPARC	Новообразования	Acute Myeloid Leukemia (AML-M2)
Stromelysin-1	Новообразования	Astrocytoma
Stromelysin-1	Новообразования	Subependymal Giant Cell Astrocytoma
Stromelysin-1	Новообразования	Juvenile Pilocytic Astrocytoma
Stromelysin-1	Новообразования	Diffuse Astrocytoma
Stromelysin-1	Новообразования	Anaplastic astrocytoma
Stromelysin-1	Новообразования	Protoplasmic astrocytoma
Stromelysin-1	Новообразования	Gemistocytic astrocytoma
Stromelysin-1	Новообразования	Fibrillary Astrocytoma
Stromelysin-1	Новообразования	Pilocytic Astrocytoma
Stromelysin-1	Новообразования	Childhood Cerebral Astrocytoma
Stromelysin-1	Новообразования	Mixed oligoastrocytoma
Stromelysin-1	Новообразования	Cerebral Astrocytoma
Stromelysin-1	Новообразования	Intracranial Astrocytoma
Stromelysin-1	Новообразования	Grade I Astrocytoma
Tenascin	Новообразования	melanoma
Thrombomodulin	Новообразования	Acute Promyelocytic Leukemia
Transcription factor SOX-11	Новообразования	Adenoid Cystic Carcinoma
Zinc-alpha-2-glycoprotein	Новообразования	Adenocarcinoma
Zinc-alpha-2-glycoprotein	Новообразования	Adenocarcinoma, Basal Cell
Zinc-alpha-2-glycoprotein	Новообразования	Adenocarcinoma, Oxyphilic
Zinc-alpha-2-glycoprotein	Новообразования	Carcinoma, Cribriform
Zinc-alpha-2-glycoprotein	Новообразования	Carcinoma, Granular Cell
Zinc-alpha-2-glycoprotein	Новообразования	Adenocarcinoma, Tubular
Alpha-1-antitrypsin	Новообразования	Lung Neoplasms
Alpha-1-antitrypsin	Новообразования	Malignant neoplasm of stomach
Alpha-1-antitrypsin	Новообразования	Neoplasm Metastasis
Alpha-1-antitrypsin	Новообразования	Stomach Neoplasms
Alpha-1-antitrypsin	Новообразования	Malignant neoplasm of lung
Alpha-1-antitrypsin	Новообразования	Hereditary Diffuse Gastric Cancer
Alpha-1-antitrypsin	Новообразования	Liver carcinoma
Alpha-1-antitrypsin	Новообразования	Gastro-enteropancreatic neuroendocrine tumor
Alpha-2-macroglobulin	Новообразования	Malignant tumor of colon
Alpha-2-macroglobulin	Новообразования	Colonic Neoplasms
Alpha-2-macroglobulin	Новообразования	Lung Neoplasms
Alpha-2-macroglobulin	Новообразования	Hepatocellular Adenoma
Alpha-2-macroglobulin	Новообразования	Malignant neoplasm of lung
Alpha-2-macroglobulin	Новообразования	Liver carcinoma
Apolipoprotein A-I	Новообразования	Lung Neoplasms
Apolipoprotein A-I	Новообразования	Malignant neoplasm of stomach
Apolipoprotein A-I	Новообразования	Stomach Neoplasms
Apolipoprotein A-I	Новообразования	Malignant neoplasm of lung
Apolipoprotein A-I	Новообразования	Malignant mesothelioma
Apolipoprotein A-I	Новообразования	Hereditary Diffuse Gastric Cancer
Apolipoprotein A-I	Новообразования	Liver carcinoma
Apolipoprotein B-100	Новообразования	Colorectal Carcinoma
Apolipoprotein(a)	Новообразования	Liver carcinoma
Beta-2-microglobulin	Новообразования	Prostatic Neoplasms
Beta-2-microglobulin	Новообразования	Diffuse Large B-Cell Lymphoma
Beta-2-microglobulin	Новообразования	Peripheral T-Cell Lymphoma
Beta-2-microglobulin	Новообразования	Squamous cell carcinoma of esophagus
Beta-2-microglobulin	Новообразования	Malignant neoplasm of prostate
C-reactive protein	Новообразования	Lung Neoplasms
C-reactive protein	Новообразования	Malignant neoplasm of lung
C-reactive protein	Новообразования	Liver carcinoma
Calcitonin	Новообразования	Prostatic Neoplasms
Calcitonin	Новообразования	Malignant neoplasm of prostate
Calcitonin gene-related peptide 1	Новообразования	Prostatic Neoplasms
Calcitonin gene-related peptide 1	Новообразования	Malignant neoplasm of prostate
Ceruloplasmin	Новообразования	Liver carcinoma
Cholinesterase	Новообразования	Non-Small Cell Lung Carcinoma
Coagulation factor IX	Новообразования	Malignant tumor of colon
Coagulation factor IX	Новообразования	Colonic Neoplasms
Coagulation factor IX	Новообразования	Colorectal Carcinoma
Coagulation factor IX	Новообразования	Adenomatous Polyposis Coli
Coagulation factor IX	Новообразования	Polyposis, Adenomatous Intestinal
